Epoch	Train EM	Train F1	Dev EM	Dev F1
0	9.489429111070493	9.558322671053432	12.318961211919428	12.318961211919428
1	10.316517394748066	10.391579845244623	12.468786415848177	12.468786415848177
2	10.583074392250046	10.668311704136963	12.435491926086232	12.435491926086232
3	10.49016023883507	10.56817766404679	12.452139170967206	12.452139170967206
4	10.761286784865655	10.841208188630961	12.26901947727651	12.277343099716997
5	10.893803692195211	10.97002376165235	12.0359580489429	12.044281671383386
6	11.244135746054956	11.337034667641504	12.0359580489429	12.044281671383386
7	11.344665813684275	11.434685919697802	12.085899783585816	12.085899783585816
8	11.539633217571438	11.634618899652718	11.819543865490262	11.827867487930748
9	11.749832449887284	11.842122098336686	11.936074579657067	11.944398202097553
